,year,sex,Value,condition,smoke_estimate
0,2010,Male,9.9,COPD,30.668830041433967
1,2010,Male,9.9,COPD,8.707322386892246
2,2010,Male,9.9,COPD,2.1198299026713383
3,2010,Male,9.9,COPD,22.389660316087262
4,2010,Male,9.9,COPD,16.201209034919362
5,2010,Male,9.9,COPD,1.406792261863361
6,2010,Male,9.9,COPD,7.53538579475148
7,2010,Male,9.9,COPD,3.5000193442118364
8,2010,Male,9.9,COPD,1.0125925464322592
9,2010,Male,9.9,COPD,0.6852822863646401
10,2010,Male,9.9,COPD,0.9324899894066518
11,2010,Male,9.9,COPD,0.6439986228274787
12,2010,Male,9.9,COPD,0.9350971921323978
13,2010,Male,9.9,COPD,0.597283850381518
14,2010,Male,9.9,COPD,1.031875471682658
15,2010,Male,9.9,COPD,0.6234319947742056
16,2010,Male,9.9,COPD,0.5211697805186781
17,2010,Male,9.9,COPD,3.54391078510116
18,2010,Male,9.9,COPD,0.5828455183903182
19,2010,Male,9.9,COPD,0.4954226085149781
20,2010,Male,9.9,COPD,3.259181100357615
21,2010,Male,9.9,COPD,1.2463964858916916
22,2010,Male,9.9,COPD,0.3417526232533005
23,2010,Male,9.9,COPD,0.276903552776411
24,2010,Male,9.9,COPD,0.8034208100114067
25,2010,Male,9.9,COPD,0.3322380156398665
26,2010,Male,9.9,COPD,0.1981601912305439
27,2010,Male,9.9,COPD,0.1567073394806689
28,2010,Male,9.9,COPD,0.2008549637918006
29,2010,Male,9.9,COPD,0.1193399141685706
30,2010,Male,9.9,COPD,0.0951863465861841
31,2010,Male,9.9,COPD,0.1220374646041082
32,2010,Male,9.9,COPD,0.1130896723049943
33,2010,Male,9.9,COPD,0.525155060559221
34,2010,Male,9.9,COPD,0.1165807290733861
35,2010,Male,9.9,COPD,0.4441379564893453
36,2010,Male,9.9,COPD,0.0598010021012714
37,2010,Male,9.9,COPD,0.0782534365398113
38,2010,Male,9.9,COPD,0.0679247986119856
39,2010,Male,9.9,COPD,0.3019348983335849
40,2010,Male,9.9,COPD,0.0499366384440474
41,2010,Male,9.9,COPD,0.0401460996275534
42,2010,Male,9.9,COPD,0.0331713457996459
43,2010,Male,9.9,COPD,0.0351132142325766
44,2010,Male,9.9,COPD,0.0332224256102403
45,2010,Male,9.9,COPD,0.0302713893837885
46,2010,Male,9.9,COPD,0.1347083940934252
47,2010,Male,9.9,COPD,0.1388658707973739
48,2010,Male,9.9,COPD,0.150398715524328
49,2010,Male,9.9,COPD,0.1470455804939247
50,2010,Male,9.9,COPD,0.1516690386523048
51,2010,Male,9.9,COPD,0.1590152162925121
52,2010,Male,9.9,COPD,0.2094833550617903
53,2010,Male,9.9,COPD,0.2045728786730562
54,2010,Male,9.9,COPD,0.2347355831501728
55,2010,Male,9.9,COPD,0.0222523462340443
56,2010,Male,9.9,COPD,0.0549639683639354
57,2010,Male,9.9,COPD,0.0138559408466424
58,2010,Male,9.9,COPD,0.0127314580315834
59,2010,Male,9.9,COPD,0.0160416625133182
60,2010,Male,9.9,COPD,0.0383032405822396
61,2010,Male,9.9,COPD,0.0146583770855675
62,2010,Male,9.9,COPD,0.0072683604276789
63,2010,Male,9.9,COPD,0.0096048406549748
64,2010,Male,9.9,COPD,0.0081151342415769
65,2010,Male,9.9,COPD,0.0100381565389715
66,2010,Male,9.9,COPD,0.0063263037438531
67,2010,Male,9.9,COPD,0.0051974349498144
68,2010,Male,9.9,COPD,0.0056000170417362
69,2010,Male,9.9,COPD,0.0061272396526144
70,2010,Male,9.9,COPD,0.0167784651556704
71,2010,Male,9.9,COPD,0.013309434888772
72,2010,Male,9.9,COPD,0.0036085193414877
73,2010,Male,9.9,COPD,0.003027182150643
