,Unnamed: 0.1,Unnamed: 0,year,name,size,type,circleness_scale,avg_distance,perimeter_start,shortest_distance,shortest_latlon,fire_type_encoded,smoke_estimate
0,13778,1961-13778-W_C_H_4_3_W1_61 (2),1961,W_C_H_4_3_W1_61 (2),28.69390022589294,Wildfire,0.6489837848213561,426.35683761886304,"(35.675731798257715, -83.71589029532807)",426.1590079374032,"(35.67698964517509, -83.70966687469813)",5,0.19340683564569575
1,13792,1961-13792-FALL BRANC (2),1961,FALL BRANC (2),13.973043697312796,Wildfire,0.5807678456981286,428.0708617751314,"(35.658386536996765, -83.73666367421406)",427.994728231276,"(35.658889182769094, -83.7342160693799)",5,0.08821146230585163
2,13809,1961-13809-WORLEY KNO (2),1961,WORLEY KNO (2),6.655654784644092,Wildfire,0.7459060580930121,420.87634927006167,"(35.46030766855338, -83.41782178915307)",420.7973356120639,"(35.460386527612144, -83.41673215456898)",5,0.04926552472523594
3,13810,1961-13810-CW_H_4_2_W12_61 (2),1961,CW_H_4_2_W12_61 (2),6.387265409116135,Wildfire,0.7611025709742911,439.836809908746,"(35.60967334366376, -83.9442967311793)",439.7939601136365,"(35.60967334366376, -83.9442967311793)",5,0.045788468916502505
4,13836,1961-13836-FOOTHILLS (2),1961,FOOTHILLS (2),1.527601438852378,Wildfire,0.782713134642842,435.54557058171343,"(35.670698246564235, -83.90266194869604)",435.5012512142589,"(35.671137177075195, -83.90149204817143)",5,0.01124838576612506
5,14107,1962-14107-HICKORY (3),1962,HICKORY (3),82.18251172771468,Wildfire,0.4565572225651542,23.899551114195223,"(38.57892238268789, -77.36346494092602)",23.691001364158502,"(38.576908416826875, -77.35959149252248)",5,8.295583833005622
6,14135,1962-14135-CHESTNUT (2),1962,CHESTNUT (2),35.20257454524206,Wildfire,0.675934505597514,429.1695098454155,"(35.54633110261357, -83.67189243754177)",428.995173766444,"(35.547045250652914, -83.66598169143914)",5,0.24123769115031962
7,14383,1963-14383-MARTIN (3),1963,MARTIN (3),259.50447305225003,Wildfire,0.5940166341558994,23.271076676556028,"(38.63190009278726, -77.39996887421046)",22.899027830191542,"(38.630549266560685, -77.39815421620304)",5,30.99500689093753
8,14453,1963-14453-COLORED (3),1963,COLORED (3),30.743400841215113,Wildfire,0.6654552594051367,22.227926306305136,"(38.59050240432773, -77.33754724721734)",22.045549763867875,"(38.59306870472293, -77.33718709410581)",5,4.063184926909723
9,14467,1963-14467-RILEY (3),1963,RILEY (3),18.306500952040288,Wildfire,0.3772508784706085,10.600629384081929,"(38.97467174278572, -77.04150209332327)",10.551152290995308,"(38.97327628638009, -77.04241384362808)",5,3.805128008531821
10,14468,1963-14468-ROUND TOP (2),1963,ROUND TOP (2),12.748582579794611,Wildfire,0.6248290479800589,423.3820627029028,"(35.69077116040403, -83.6636228696835)",423.2350512459276,"(35.69128539556175, -83.65917282319202)",5,0.08470456289071071
11,14782,1964-14782-LODGE BALD (2),1964,LODGE BALD (2),28.468121417707913,Wildfire,0.6792963331530812,403.4699304038578,"(35.64023807356422, -83.19330442058997)",403.2911527174794,"(35.64047393779288, -83.19174377612816)",5,0.20811485060756052
12,14810,1964-14810-JOLLETT 4 (2),1964,JOLLETT 4 (2),6.0661921738339135,Wildfire,0.791317739329612,81.98495560380371,"(38.462438157718466, -78.49573530660619)",81.97790444938262,"(38.46257268689821, -78.49560842704273)",5,0.23888697865810068
13,14881,1964-14881-BERRY (2),1964,BERRY (2),0.0691019634461957,Wildfire,0.8699467645271176,72.48664549603473,"(38.510473837909295, -78.33118363804746)",72.48032126344582,"(38.510508962906655, -78.3311901887584)",5,0.0032652314999233488
14,15000,1965-15000-HF_W13_65 (2),1965,HF_W13_65 (2),29.90251148046571,Wildfire,0.6770436780223427,400.65704554991544,"(35.78097676845511, -83.24993204420382)",400.53077552478425,"(35.7804458195568, -83.2485829784703)",5,0.2196870018849199
15,15009,1965-15009-CABLE (3),1965,CABLE (3),16.49738851263242,Wildfire,0.5516715568399655,23.62189779423952,"(38.572347400121686, -77.348415840771)",23.49747306448357,"(38.572347400121686, -77.348415840771)",5,1.8459255398720054
16,15016,1965-15016-W_C_H_3_3_W10_65 (2),1965,W_C_H_3_3_W10_65 (2),11.04744404132732,Wildfire,0.5655297782262875,424.15502670124664,"(35.69241154094521, -83.67791616450826)",424.0815795499803,"(35.69241154094521, -83.67791616450826)",5,0.06939337362762948
17,15036,1965-15036-ABRAMS MTN (2),1965,ABRAMS MTN (2),3.9782418134748903,Wildfire,0.9923127791190112,84.51226903539781,"(38.41702609545507, -78.52440090172064)",84.46767780951713,"(38.417248188378466, -78.52444289358628)",5,0.17571162279559144
18,15039,1965-15039-COOPER CRK (2),1965,COOPER CRK (2),2.831538132174256,Wildfire,0.7514422771201452,416.0444811479999,"(35.50448421641519, -83.3526497586191)",415.99829592401846,"(35.505735535913395, -83.35169867368563)",5,0.021295198577735826
19,15042,1965-15042-SANDY BOTT (2),1965,SANDY BOTT (2),1.9894917821887912,Wildfire,0.9923277999892766,88.4042360758578,"(38.35030649473396, -78.56906668261718)",88.37275552418384,"(38.350463542182375, -78.5690964559233)",5,0.08399007920484222
20,15043,1965-15043-SKYLAND (2),1965,SKYLAND (2),1.9890989236274303,Wildfire,0.9922685640002344,73.61327092490156,"(38.61149853147582, -78.38578188979312)",73.5817878130935,"(38.6115780816643, -78.38578785722879)",5,0.10084933658977124
21,15054,1965-15054-BERRY (2),1965,BERRY (2),0.9943564188007418,Wildfire,0.9922815989557772,72.48545692908304,"(38.55115008014957, -78.34611212696913)",72.46319249809974,"(38.5512611476025, -78.34613287635987)",5,0.05119356929446711
22,15067,1965-15067-LEWIS PEAK (2),1965,LEWIS PEAK (2),0.2488212088044399,Wildfire,0.9923432785448016,98.4631542749718,"(38.28426781178894, -78.73513404810394)",98.45202811943103,"(38.284323338154834, -78.73514469794414)",5,0.009429126692754523
23,15091,1965-15091-ROUTE 663 (2),1965,ROUTE 663 (2),0.099485083190084,Wildfire,0.9923455624740396,101.62974433390652,"(38.2614911172717, -78.78624910908775)",101.62271111910027,"(38.26152622556086, -78.78625586650998)",5,0.003652385396830303
24,15092,1965-15092-PUMPKIN HI (2),1965,PUMPKIN HI (2),0.0994489532736632,Wildfire,0.9922565341826494,72.33043596352464,"(38.667374704166335, -78.37503446125974)",72.32338513518822,"(38.66739249179278, -78.37503579308888)",5,0.005129853575812671
25,15382,1966-15382-JAGGERS FIRE (2),1966,JAGGERS FIRE (2),12.781394650701294,Wildfire,0.7817149376072013,511.6893164517776,"(37.25793622474143, -86.22434838111926)",511.6267454992504,"(37.25737389211709, -86.22395401615734)",5,0.08004910118249785
26,15384,1966-15384-SELLS (2),1966,SELLS (2),12.242044415072169,Wildfire,0.8287715968247811,501.6497724614661,"(37.21288985999852, -86.02185603717835)",501.5709046205241,"(37.212412918084524, -86.01962400441504)",5,0.08107966767989887
27,15396,1966-15396-JACK H (2),1966,JACK H (2),4.972633692741457,Wildfire,0.992292745544444,84.621815476623,"(38.514657944741224, -78.56508004702454)",84.57204670325025,"(38.51490622694426, -78.56512718322733)",5,0.21935809393279024
28,15413,1966-15413-CROW (2),1966,CROW (2),2.808148924929292,Wildfire,0.9023943144638942,84.65843045562364,"(38.41245935829432, -78.52532482803258)",84.62185253958897,"(38.412651683556824, -78.52536119305749)",5,0.11634500924706015
29,15416,1966-15416-SELLS (2),1966,SELLS (2),1.941470576525901,Wildfire,0.9357622613172132,503.21349977154176,"(37.1950685350148, -86.04468318439613)",503.18132526772007,"(37.194958342565485, -86.04385289432896)",5,0.013849332463553589
30,15480,1966-15480-HWY 211 (2),1966,HWY 211 (2),0.099442025943887,Wildfire,0.992257992614625,68.54973041430281,"(38.65990283538386, -78.30265616561591)",68.54268169453553,"(38.65992062254684, -78.30265748064816)",5,0.00541243624949922
31,15481,1966-15481-SQUIRREL (2),1966,SQUIRREL (2),0.0994374082130099,Wildfire,0.9922611673677354,66.31968768646621,"(38.644284410888574, -78.25712966203221)",66.3126445867824,"(38.64430219872286, -78.25713096329784)",5,0.00559420393292326
32,15482,1966-15482-CRISER ROA (2),1966,CRISER ROA (2),0.0994302315933129,Wildfire,0.9922054614278732,61.77977374656992,"(38.905359692066476, -78.19080743508316)",61.77273518793195,"(38.905359692066476, -78.19080743508316)",5,0.006004685326106691
33,15609,1967-15609-BIBLE CK (4),1967,BIBLE CK (4),490.6976610821416,Wildfire,0.4214399085121095,441.0448130494986,"(35.51843706242619, -83.89439126933081)",440.4360004709192,"(35.51553560833394, -83.88381282158066)",5,2.5664818920977868
34,15699,1967-15699-PINEY (2),1967,PINEY (2),13.924352234104818,Wildfire,0.9923120873250216,84.86144954168225,"(38.42058142852898, -78.5321256656962)",84.77800876439197,"(38.42099692756469, -78.532204273031)",5,0.6127614770026741
35,15704,1967-15704-BASKINS (2),1967,BASKINS (2),11.043775682292704,Wildfire,0.7700309285687841,414.9654684907881,"(35.706121714789305, -83.49705878913808)",414.8608391262204,"(35.7076596068514, -83.49489587488499)",5,0.08452193700801561
36,15743,1967-15743-PINNACLES (2),1967,PINNACLES (2),0.9943347382172238,Wildfire,0.9922660211324532,69.96973512422673,"(38.62211429806475, -78.31999709147853)",69.94747640042812,"(38.62217054325566, -78.32000126011792)",5,0.053033076382156444
37,15749,1967-15749-BIG UGLY (2),1967,BIG UGLY (2),0.4798891951390382,Wildfire,0.7574957818459881,84.75108314181577,"(38.41352391857887, -78.5287717043483)",84.73116298641673,"(38.41370283059735, -78.5279843804855)",5,0.017805097244373576
38,15811,1967-15811-OAK TREE (2),1967,OAK TREE (2),0.0994568280936601,Wildfire,0.9922943515665136,79.12224503777612,"(38.48824992767655, -78.45059725817012)",79.11519524929484,"(38.48828504952549, -78.45060386836572)",5,0.004689960706069723
39,16209,1968-16209-ELLIS BUTT (2),1968,ELLIS BUTT (2),9.318865592795136,Wildfire,0.8555870701951899,435.7132933298265,"(35.65621010442885, -83.89493836161692)",435.6286312537729,"(35.65601628194201, -83.89257725165005)",5,0.07249600232956746
40,16210,1968-16210-OLD QUARRY (2),1968,OLD QUARRY (2),8.964676452278786,Wildfire,0.7781623562716223,443.6590670681784,"(35.49736830715375, -83.93809758459908)",443.5879970717097,"(35.49936902060457, -83.93768365273411)",5,0.06457744603718983
41,16218,1968-16218-LEWIS FALL (4),1968,LEWIS FALL (4),4.994076363123564,Wildfire,0.7712058483778881,78.66623254044468,"(38.522693476493764, -78.45517780495251)",78.61757820888081,"(38.52364428402262, -78.45427939843964)",5,0.20187912247757675
42,16246,1968-16246-SWIFT RUN (4),1968,SWIFT RUN (4),1.0940060455470138,Wildfire,0.6300555247047986,85.62168024460044,"(38.346972905353546, -78.51253066066867)",85.61464962448149,"(38.347107463538286, -78.51240402234285)",5,0.036100351436739876
43,16257,1968-16257-MOORMAN (2),1968,MOORMAN (2),0.2488186219478754,Wildfire,0.9923733185679638,102.79106881638798,"(38.15729116715753, -78.74840871970605)",102.77992045242944,"(38.15737251713176, -78.74843366369518)",5,0.00903216968166765
44,16280,1968-16280-SIGNAL KNO (2),1968,SIGNAL KNO (2),0.0994319804371185,Wildfire,0.9922149012592344,62.637233934015995,"(38.859847493108624, -78.21040356800552)",62.63018366248131,"(38.859847493108624, -78.21040356800552)",5,0.005922618863357592
45,16480,1969-16480-NEBO (2),1969,NEBO (2),115.54258663169313,Wildfire,0.825055151490149,430.35308510465376,"(35.71868471685379, -83.83174837938468)",430.0470532767815,"(35.72691696906071, -83.82979511608083)",5,0.8900206295233308
46,16488,1969-16488-STOCKHOLM # 1 (2),1969,STOCKHOLM # 1 (2),126.09746102613909,Wildfire,0.33631433440331,506.8951894289548,"(37.23672278862957, -86.12589510291842)",506.77256964244594,"(37.23636964330536, -86.12567527923909)",5,0.5202388630783047
47,16497,1969-16497-SILENT GROVE # 1 (2),1969,SILENT GROVE # 1 (2),75.39049399369075,Wildfire,0.4910559383721536,511.390239385694,"(37.163190668976576, -86.18390043066194)",511.21351982830816,"(37.163190668976576, -86.18390043066194)",5,0.3653864474982535
48,16518,1969-16518-ROCKY TOP (2),1969,ROCKY TOP (2),32.821549399606,Wildfire,0.489568373218654,421.2804362768815,"(35.682087644537695, -83.61009477725835)",421.1107163279849,"(35.68338772949444, -83.60805071532836)",5,0.19281845596982616
49,16525,1969-16525-LONG BRANCH (2),1969,LONG BRANCH (2),23.30345057659452,Wildfire,0.761556815808718,510.0650153297081,"(37.256164499738325, -86.19598182227716)",509.9736286964513,"(37.25948286255632, -86.19361546443936)",5,0.1441183683453914
50,16526,1969-16526-ABRAMS MTN (2),1969,ABRAMS MTN (2),23.180975465647588,Wildfire,0.8106985825659954,85.2352273990487,"(38.40949392459132, -78.53890197192479)",85.07495911838718,"(38.41113095006358, -78.53354014509071)",5,0.892838268750772
51,16535,1969-16535-BILEW (2),1969,BILEW (2),20.046526121398696,Wildfire,0.3544940325638729,510.23533423476977,"(37.268826307512654, -86.20511524307189)",509.9784601924267,"(37.27300985366085, -86.19821734996455)",5,0.08397235511627088
52,16540,1969-16540-NUMBER 2 (3),1969,NUMBER 2 (3),13.833518700124293,Wildfire,0.6723178032098918,10.91054821068752,"(38.977960594045435, -77.04709531284212)",10.839364092492191,"(38.97754115088199, -77.04571278848114)",5,3.7403670812260685
53,16553,1969-16553-PAINE RUN (2),1969,PAINE RUN (2),7.737741609041988,Wildfire,0.9667021748651828,103.94554807502595,"(38.197454913717934, -78.7957836287083)",103.88125052535284,"(38.19791491573858, -78.79592505028259)",5,0.2731234556075382
54,16577,1969-16577-COVE HOLLOW (2),1969,COVE HOLLOW (2),2.053641731643392,Wildfire,0.995091468498116,511.4859323012398,"(37.263438828724915, -86.2227561764834)",511.4539734126097,"(37.26355890723412, -86.22277469984667)",5,0.015008106261473586
55,16579,1969-16579-WILDCAT (2),1969,WILDCAT (2),0.9947207309526624,Wildfire,0.9923713753601412,104.01021163150942,"(38.157237694120305, -78.7732495381042)",103.98792484336826,"(38.157400341603825, -78.77329946613143)",5,0.03568906552340298
56,16580,1969-16580-ROUTE 33 (2),1969,ROUTE 33 (2),0.994550309367842,Wildfire,0.992328170161152,86.02070012299994,"(38.34834895174949, -78.52076879682389)",85.99846212232913,"(38.348459998054146, -78.52078977243386)",5,0.043145987924787375
57,16584,1969-16584-MADISON RU (2),1969,MADISON RU (2),0.5783937729445568,Wildfire,0.7611272812953348,100.5625283324302,"(38.2647775560767, -78.76662528452498)",100.55009105572532,"(38.26488857120397, -78.7666466202811)",5,0.018135939976112694
58,16629,1969-16629-MD 77 (2),1969,MD 77 (2),0.0994767389082567,Wildfire,0.9923415322287418,94.46354328837953,"(38.29083468975169, -78.65885499016801)",94.45651506002822,"(38.290869801778086, -78.65886168847116)",5,0.0039291431848063225
59,16630,1969-16630-PINNACLES (2),1969,PINNACLES (2),0.0994458180263717,Wildfire,0.9922658060222946,71.14798291025922,"(38.62385432634583, -78.34295249154137)",71.140942027782,"(38.62387211402283, -78.34295381670277)",5,0.005214985547095964
60,16631,1969-16631-JET CRASH (2),1969,JET CRASH (2),0.0994436544482303,Wildfire,0.9922647210714396,69.84851164613134,"(38.6279865492546, -78.31951537541775)",69.84147066502032,"(38.62800433689797, -78.31951669315605)",5,0.005311896207743961
61,16979,1970-16979-JACK RIDGE (2),1970,JACK RIDGE (2),33.60556522195686,Wildfire,0.8230429229509402,84.87783367400155,"(38.50683803172715, -78.56620530985776)",84.7673441300103,"(38.5075576600384, -78.56634193144772)",5,1.3112834221420255
62,16985,1970-16985-GRINDSTONE (2),1970,GRINDSTONE (2),30.95748175924135,Wildfire,0.7665708749145298,84.15047966729577,"(38.5210592142861, -78.55546276093318)",83.9572624201398,"(38.5210592142861, -78.55546276093318)",5,1.1675536941860554
63,17026,1970-17026-MILLER Run (2),1970,MILLER Run (2),14.920604298507516,Wildfire,0.9923539274478272,101.91581821191843,"(38.23180743411448, -78.77423226566123)",101.82971617769624,"(38.232437354396254, -78.77442580884039)",5,0.5466680862076715
64,17027,1970-17027-BELDOR Ridge (2),1970,BELDOR Ridge (2),14.919219704765297,Wildfire,0.992325516144722,90.40980359556043,"(38.360919354565446, -78.61306326970293)",90.32350364140936,"(38.36134938647579, -78.61314507197953)",5,0.61623861311839
65,17329,1971-17329-FLEEBURG (2),1971,FLEEBURG (2),541.8494724893576,Wildfire,0.57226087665237,84.76480598340125,"(38.461352611877466, -78.55644655468582)",84.04078172013288,"(38.47682095777286, -78.54115813600487)",5,17.283394397730746
66,17360,1971-17360-PEACHTREE (2),1971,PEACHTREE (2),355.2024106167719,Wildfire,0.3456892285197079,423.80689352237886,"(35.462678197232954, -83.4802377754592)",423.1339104403969,"(35.46572663058141, -83.47200446005677)",5,1.7747977956327832
67,17425,1971-17425-TURKEYPEN (2),1971,TURKEYPEN (2),107.96871691580075,Wildfire,0.6548196738500849,430.7454446715939,"(35.62491719739919, -83.76831357704346)",430.38168471554167,"(35.625798414280965, -83.75859863359233)",5,0.7242664063244618
68,17435,1971-17435-MT STERLIN (2),1971,MT STERLIN (2),91.00373621658264,Wildfire,0.4740232449033058,396.818219232973,"(35.631723014022576, -83.0439379923774)",396.6330330435287,"(35.63130257173305, -83.03925136426275)",5,0.5587012872316189
69,17532,1971-17532-SILERS (2),1971,SILERS (2),15.603701226833689,Wildfire,0.4912889161075443,423.626868976858,"(35.56343735978309, -83.5674669449762)",423.4963798442391,"(35.56627796051645, -83.56426960299402)",5,0.0913099663455384
70,17538,1971-17538-WISE BEECH (3),1971,WISE BEECH (3),13.909097364143292,Wildfire,0.7971858031085883,10.93159374850715,"(38.97884380869226, -77.05096791789776)",10.847111417021011,"(38.97769843329848, -77.05002708077896)",5,4.158407464707527
71,17558,1971-17558-KIRKLAND (2),1971,KIRKLAND (2),8.257105502162023,Wildfire,0.8895592187271021,431.3632736643412,"(35.44720257882071, -83.63271547327349)",431.294548063915,"(35.44653835135829, -83.63190684339037)",5,0.06650754757993825
72,17559,1971-17559-D C LINE (3),1971,D C LINE (3),8.22433776593927,Wildfire,0.7052263830656833,11.574057779541146,"(38.98772940246253, -77.05311549750407)",11.473216323391211,"(38.986771542515484, -77.05199960698785)",5,2.1598539980774283
73,17567,1971-17567-NO 3 (3),1971,NO 3 (3),6.7421663863279795,Wildfire,0.6686777818092767,9.62052393155244,"(38.96033688072748, -77.05012260997717)",9.537911653573255,"(38.9587185456241, -77.04976358787945)",5,2.0652896417872895
74,17613,1971-17613-PINEY (3),1971,PINEY (3),1.0895054958319044,Wildfire,0.7551129723909751,8.185800308539218,"(38.938407076644744, -77.03696454870772)",8.162494110114766,"(38.93835001593964, -77.0376451124007)",5,0.4188218891378343
75,17642,1971-17642-MORROW JOY (3),1971,MORROW JOY (3),0.2229671134353034,Wildfire,0.8599941028484847,9.757377132404612,"(38.961813555417415, -77.04241932897125)",9.750309520017474,"(38.96164754684505, -77.04218194537977)",5,0.07774982906404657
76,17649,1971-17649-DUNDO (2),1971,DUNDO (2),0.0994801578145791,Wildfire,0.9923553437526056,98.63977307540846,"(38.237078767793825, -78.7126196003288)",98.63273809544292,"(38.2371302108568, -78.71263536133165)",5,0.0037629429127345407
77,17650,1971-17650-Madison Campfire (2),1971,Madison Campfire (2),0.099449367119188,Wildfire,0.9922814900133484,74.46817011538342,"(38.55155339279793, -78.38443327387219)",74.46113249114805,"(38.55158851449938, -78.38443985407547)",5,0.004982681728724343
